Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2013,26.0,26.0,28.5,77.0,0.0,4.0,4.0,300.0,2.0,W 
02-05-2013,26.0,25.0,28.9,75.0,0.0,3.7,4.0,250.0,2.0,W 
03-05-2013,27.0,30.0,28.2,71.0,0.0,0.0,5.0,10.0,3.0,W 
04-05-2013,26.0,33.6,29.3,76.0,4.0,3.2,4.0,310.0,1.0,W 
05-05-2013,26.0,33.2,29.1,75.0,0.0,1.7,4.0,250.0,2.0,W 
06-05-2013,26.0,31.6,28.7,73.0,0.0,0.0,5.0,240.0,2.0,NW
07-05-2013,26.0,32.6,28.5,74.0,0.0,0.0,3.0,360.0,2.0,NW
08-05-2013,26.0,35.0,28.9,79.0,16.0,4.8,5.0,20.0,1.0,W 
09-05-2013,25.0,33.6,28.6,81.0,2.8,4.0,5.0,300.0,2.0,S 
10-05-2013,26.0,33.2,28.6,76.0,0.2,5.0,3.0,10.0,1.0,NW
11-05-2013,26.0,31.4,28.1,75.0,0.0,0.3,10.0,270.0,3.0,W 
12-05-2013,26.0,30.4,27.8,82.0,0.0,0.0,3.0,250.0,2.0,W 
13-05-2013,24.0,31.0,26.8,86.0,18.8,0.0,3.0,170.0,1.0,S 
14-05-2013,25.0,32.8,28.2,80.0,0.0,1.3,3.0,70.0,2.0,NE
15-05-2013,26.0,33.0,29.0,73.0,0.0,1.5,3.0,350.0,1.0,N 
16-05-2013,26.0,32.4,29.1,68.0,10.9,0.0,2.0,350.0,1.0,N 
17-05-2013,23.0,27.6,26.2,78.0,38.9,0.0,3.0,350.0,2.0,SE
18-05-2013,25.0,32.0,28.0,82.0,0.0,4.2,3.0,290.0,1.0,W 
19-05-2013,26.0,33.4,29.0,80.0,0.0,1.0,4.0,350.0,2.0,W 
20-05-2013,26.0,33.2,28.9,82.0,0.0,3.5,4.0,350.0,2.0,NE
21-05-2013,25.0,33.0,29.4,78.0,0.0,2.0,3.0,350.0,2.0,N 
22-05-2013,27.0,33.2,29.3,78.0,0.0,4.7,3.0,360.0,1.0,N 
23-05-2013,26.0,33.0,29.1,81.0,0.0,4.0,3.0,20.0,1.0,NE
24-05-2013,26.0,33.6,29.5,78.0,0.0,3.7,4.0,30.0,2.0,N 
25-05-2013,27.0,33.8,29.5,88.0,0.0,4.7,4.0,20.0,2.0,NE
26-05-2013,25.0,33.8,28.9,81.0,6.7,4.1,4.0,60.0,2.0,N 
27-05-2013,25.0,33.4,29.1,80.0,0.0,4.3,6.0,270.0,3.0,W 
28-05-2013,25.0,32.2,28.0,83.0,0.0,4.5,4.0,360.0,2.0,N 
29-05-2013,26.0,33.6,29.6,74.0,0.0,5.0,4.0,80.0,2.0,N 
30-05-2013,25.0,34.2,29.5,81.0,2.7,5.0,3.0,90.0,2.0,E 
31-05-2013,25.0,25.6,28.5,77.0,0.0,4.0,5.0,100.0,2.0,E 
01-06-2013,24.0,24.6,27.5,80.0,10.3,0.2,5.0,140.0,2.0,W 
02-06-2013,25.0,29.4,26.2,88.0,0.8,0.2,4.0,20.0,2.0,N 
03-06-2013,24.0,27.0,25.3,91.0,21.3,0.0,3.0,90.0,1.0,E 
04-06-2013,24.0,26.8,24.6,94.0,8.6,0.0,2.0,60.0,1.0,NE
05-06-2013,25.0,30.8,27.4,84.0,0.0,5.2,4.0,90.0,0.0,E 
06-06-2013,24.0,32.6,28.1,70.0,0.0,5.2,6.0,90.0,2.0,E 
07-06-2013,25.0,32.4,28.4,79.0,0.0,5.4,4.0,80.0,2.0,N 
08-06-2013,24.0,32.6,27.1,81.0,42.3,2.6,5.0,350.0,1.0,N 
09-06-2013,24.0,30.4,26.4,76.0,0.0,3.9,3.0,10.0,2.0,N 
10-06-2013,23.0,32.2,26.6,75.0,40.2,0.0,5.0,120.0,1.0,SE
11-06-2013,24.0,32.8,27.3,82.0,8.4,5.0,5.0,60.0,2.0,NE
12-06-2013,23.0,29.6,26.2,86.0,24.8,0.0,7.0,250.0,2.0,W 
13-06-2013,25.0,31.0,26.6,80.0,0.0,0.0,4.0,270.0,2.0,W 
14-06-2013,25.0,31.2,27.9,73.0,0.0,0.2,3.0,350.0,1.0,S 
15-06-2013,25.0,33.0,28.4,68.0,0.0,4.6,4.0,80.0,2.0,E 
16-06-2013,25.0,32.2,27.9,78.0,5.3,3.6,3.0,350.0,2.0,N 
17-06-2013,24.0,29.2,26.9,82.0,13.7,0.0,3.0,240.0,1.0,SW
18-06-2013,25.0,32.6,28.1,80.0,0.0,5.2,3.0,90.0,1.0,E 
19-06-2013,25.0,30.6,27.7,82.0,0.8,0.0,2.0,260.0,2.0,W 
20-06-2013,24.0,31.2,27.1,78.0,37.8,2.2,3.0,240.0,1.0,SW
21-06-2013,24.0,27.8,25.6,78.0,10.3,0.0,3.0,160.0,2.0,E 
22-06-2013,24.0,32.2,27.8,81.0,0.2,4.3,4.0,110.0,1.0,E 
23-06-2013,25.0,31.4,27.7,78.0,0.0,3.0,4.0,70.0,2.0,E 
24-06-2013,24.0,32.0,28.4,88.0,13.2,3.0,5.0,80.0,2.0,E 
25-06-2013,25.0,33.5,28.4,81.0,0.0,2.4,3.0,100.0,2.0,E 
26-06-2013,25.0,32.8,28.0,80.0,0.0,3.2,3.0,40.0,2.0,NE
27-06-2013,25.0,30.1,27.0,83.0,16.0,1.7,3.0,20.0,2.0,N 
28-06-2013,25.0,31.8,28.5,74.0,0.0,2.5,3.0,10.0,1.0,NE
29-06-2013,25.0,32.2,28.1,81.0,2.7,4.0,2.0,30.0,1.0,NE
30-06-2013,25.0,32.2,27.9,78.0,0.0,4.2,2.0,20.0,1.0,NW
01-07-2013,25.0,33.5,28.5,77.0,0.0,4.0,5.0,100.0,2.0,E 
02-07-2013,24.0,32.5,27.5,80.0,10.3,0.2,5.0,140.0,2.0,W 
03-07-2013,25.0,29.4,26.2,88.0,0.8,0.2,4.0,20.0,2.0,N 
04-07-2013,24.0,27.0,25.3,91.0,21.3,0.0,3.0,90.0,1.0,E 
05-07-2013,24.0,26.8,24.6,94.0,8.6,0.0,2.0,60.0,1.0,NE
06-07-2013,25.0,30.8,27.4,84.0,0.0,5.2,4.0,90.0,0.0,E 
07-07-2013,24.0,32.6,28.1,70.0,0.0,5.2,6.0,90.0,2.0,E 
