Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
09/05/2013;25.00;33.60;28.60;81.00;2.80;4.00;5.00;300.00;2.00;S 
10/05/2013;26.00;33.20;28.60;76.00;0.20;5.00;3.00;10.00;1.00;NW
11/05/2013;26.00;31.40;28.10;75.00;0.00;0.30;10.00;270.00;3.00;W 
12/05/2013;26.00;30.40;27.80;82.00;0.00;0.00;3.00;250.00;2.00;W 
13/05/2013;24.00;31.00;26.80;86.00;18.80;0.00;3.00;170.00;1.00;S 
14/05/2013;25.00;32.80;28.20;80.00;0.00;1.30;3.00;70.00;2.00;NE
15/05/2013;26.00;33.00;29.00;73.00;0.00;1.50;3.00;350.00;1.00;N 
16/05/2013;26.00;32.40;29.10;68.00;10.90;0.00;2.00;350.00;1.00;N 
17/05/2013;23.00;27.60;26.20;78.00;38.90;0.00;3.00;350.00;2.00;SE
18/05/2013;25.00;32.00;28.00;82.00;0.00;4.20;3.00;290.00;1.00;W 
19/05/2013;26.00;33.40;29.00;80.00;0.00;1.00;4.00;350.00;2.00;W 
20/05/2013;26.00;33.20;28.90;82.00;0.00;3.50;4.00;350.00;2.00;NE
21/05/2013;25.00;33.00;29.40;78.00;0.00;2.00;3.00;350.00;2.00;N 
22/05/2013;27.00;33.20;29.30;78.00;0.00;4.70;3.00;360.00;1.00;N 
23/05/2013;26.00;33.00;29.10;81.00;0.00;4.00;3.00;20.00;1.00;NE
24/05/2013;26.00;33.60;29.50;78.00;0.00;3.70;4.00;30.00;2.00;N 
25/05/2013;27.00;33.80;29.50;88.00;0.00;4.70;4.00;20.00;2.00;NE
26/05/2013;25.00;33.80;28.90;81.00;6.70;4.10;4.00;60.00;2.00;N 
27/05/2013;25.00;33.40;29.10;80.00;0.00;4.30;6.00;270.00;3.00;W 
28/05/2013;25.00;32.20;28.00;83.00;0.00;4.50;4.00;360.00;2.00;N 
29/05/2013;26.00;33.60;29.60;74.00;0.00;5.00;4.00;80.00;2.00;N 
30/05/2013;25.00;34.20;29.50;81.00;2.70;5.00;3.00;90.00;2.00;E 
31/05/2013;25.00;25.60;28.50;77.00;0.00;4.00;5.00;100.00;2.00;E 
01/06/2013;24.00;24.60;27.50;80.00;10.30;0.20;5.00;140.00;2.00;W 
02/06/2013;25.00;29.40;26.20;88.00;0.80;0.20;4.00;20.00;2.00;N 
03/06/2013;24.00;27.00;25.30;91.00;21.30;0.00;3.00;90.00;1.00;E 
04/06/2013;24.00;26.80;24.60;94.00;8.60;0.00;2.00;60.00;1.00;NE
05/06/2013;25.00;30.80;27.40;84.00;0.00;5.20;4.00;90.00;0.00;E 
06/06/2013;24.00;32.60;28.10;70.00;0.00;5.20;6.00;90.00;2.00;E 
07/06/2013;25.00;32.40;28.40;79.00;0.00;5.40;4.00;80.00;2.00;N 
08/06/2013;24.00;32.60;27.10;81.00;42.30;2.60;5.00;350.00;1.00;N 
09/06/2013;24.00;30.40;26.40;76.00;0.00;;3.00;10.00;2.00;N 
10/06/2013;23.00;32.20;26.60;75.00;40.20;0.00;5.00;120.00;1.00;SE
11/06/2013;24.00;32.80;27.30;82.00;8.40;5.00;5.00;60.00;2.00;NE
12/06/2013;23.00;29.60;26.20;86.00;24.80;0.00;7.00;250.00;2.00;W 
13/06/2013;25.00;31.00;26.60;80.00;0.00;0.00;4.00;270.00;2.00;W 
14/06/2013;25.00;31.20;27.90;73.00;0.00;0.20;3.00;350.00;1.00;S 
15/06/2013;25.00;33.00;28.40;68.00;0.00;4.60;4.00;80.00;2.00;E 
16/06/2013;25.00;32.20;27.90;78.00;5.30;3.60;3.00;350.00;2.00;N 
17/06/2013;24.00;29.20;26.90;82.00;13.70;0.00;3.00;240.00;1.00;SW
18/06/2013;25.00;32.60;28.10;80.00;0.00;5.20;3.00;90.00;1.00;E 
19/06/2013;25.00;30.60;27.70;82.00;0.80;0.00;2.00;260.00;2.00;W 
20/06/2013;24.00;31.20;27.10;78.00;37.80;2.20;3.00;240.00;1.00;SW
21/06/2013;24.00;27.80;25.60;78.00;10.30;0.00;3.00;160.00;2.00;E 
22/06/2013;24.00;32.20;27.80;81.00;0.20;4.30;4.00;110.00;1.00;E 
23/06/2013;25.00;31.40;27.70;78.00;0.00;3.00;4.00;70.00;2.00;E 
24/06/2013;24.00;32.00;28.40;88.00;13.20;3.00;5.00;80.00;2.00;E 
25/06/2013;25.00;33.50;28.40;81.00;0.00;2.40;3.00;100.00;2.00;E 
26/06/2013;0.00;32.80;28.00;80.00;0.00;3.20;3.00;40.00;2.00;NE
27/06/2013;25.00;30.10;27.00;83.00;16.00;1.70;3.00;20.00;2.00;N 
