Aktual,Prediksi
32.6424,33.3474
31.3061,33.0652
32.6424,32.7524
31.0091,32.8899
32.0485,32.5804
29.9697,32.8031
32.1970,32.4985
33.2364,33.0879
32.9394,33.4149
33.2364,33.3252
32.7909,33.3342
32.1970,32.9919
31.7515,32.7099
32.0485,32.4947
32.9394,32.3100
32.1970,32.9610
32.6424,32.5891
33.2364,32.6128
32.7909,32.6958
32.2712,32.4805
32.6424,32.5018
31.4545,32.4328
32.0485,32.3480
31.7515,32.5192
32.7909,32.4077
33.0879,32.8675
33.0879,32.8059
31.4545,32.8104
31.6030,32.7472
32.4939,32.5051
31.7515,32.9430
31.9000,32.7365
32.6424,32.5695
32.3455,32.4455
32.6424,32.3673
31.9000,32.5300
31.7515,32.3132
31.4545,31.8583
32.1970,31.8545
30.7121,32.2115
31.9000,31.9208
31.3061,32.1764
31.9000,32.2918
32.6424,32.6343
32.0485,32.8957
31.9000,32.8001
32.9394,32.5673
33.0879,32.7169
33.3848,32.7210
33.8303,32.6312
33.5333,32.8682
33.2364,32.9332
33.0879,33.1219
33.3848,33.0525
32.9394,33.0739
33.5333,32.9953
33.2364,32.9826
33.6818,33.0267
31.9000,33.3032
33.3848,32.8422
32.7909,33.0255
32.6424,32.6607
33.5333,32.8991
33.0879,32.9334
33.3848,32.9510
33.0879,33.1770
31.7515,32.9731
32.4939,32.6418
33.2364,32.7788
32.1970,33.0781
31.4545,32.7202
33.2271,32.6794
32.9394,32.7911
32.9394,33.0064
34.2758,33.0287
35.0182,33.5040
34.4242,33.8745
34.7212,33.7887
34.2758,33.8442
33.8303,33.7223
34.4242,33.5953
33.5333,33.7318
33.9788,33.3827
32.6424,33.5039
33.2271,33.2472
34.2758,33.4290
33.0879,33.4610
35.0182,33.3416
34.5727,33.7212
34.4242,33.5642
33.8303,33.7238
32.6424,33.6143
33.0879,33.4456
34.1273,33.3020
33.9788,33.7013
34.1273,33.7780
34.2758,33.8807
31.6030,33.8002
33.9788,33.0163
34.4242,33.5735
34.5727,33.6554
33.9788,33.8005
33.3848,33.6688
34.8697,33.3435
34.2758,33.8938
34.3500,33.6589
31.1576,33.7506
33.3848,33.0403
33.5333,33.5508
33.5333,33.6799
33.3848,33.5780
34.5727,33.5469
34.8697,33.9041
34.5727,34.0166
35.4636,34.0750
34.1273,34.2783
34.7212,33.7925
33.5333,33.9164
33.2364,33.6776
34.2758,33.5943
33.9788,33.6974
34.1273,33.9572
32.9394,34.0882
32.7909,33.5837
33.3848,33.6289
33.6818,33.6425
34.5727,33.7627
33.5333,34.1248
32.1970,33.9440
34.7212,33.4343
31.9000,33.7833
32.6424,33.2575
33.5333,33.2849
33.9788,33.5267
34.5727,33.7900
34.4242,34.0240
34.4242,33.9690
32.9394,33.9523
33.3848,33.5729
34.7212,33.6515
34.2758,33.9687
33.3848,34.1178
33.9788,33.8050
35.0182,33.7956
33.9788,33.9424
33.8303,33.8811
32.4939,33.9264
